Gene Group 1	Enrichment Score: 15.135760912085946
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
"219826_at, 58367_s_at"	zinc finger protein 419
227111_at	zinc finger and BTB domain containing 34
227689_at	zinc finger protein 227
206059_at	zinc finger protein 91
238149_at	zinc finger protein 818 pseudogene
231940_at	zinc finger protein 529
232478_at	"nuclear receptor subfamily 6, group A, member 1"
"213698_at, 227595_at"	"hypothetical LOC100130633; zinc finger, MYM-type 6"
222760_at	zinc finger protein 703
220391_at	zinc finger and BTB domain containing 3
218263_s_at	"zinc finger, BED-type containing 5"
235122_at	human immunodeficiency virus type I enhancer binding protein 3
206175_x_at	zinc finger protein 222
"225509_at, 219129_s_at"	SAP30-like
241731_x_at	zinc finger protein 440
1553719_s_at	zinc finger protein 548
213402_at	zinc finger protein 787
203604_at	zinc finger protein 516
212696_s_at	ring finger protein 4; hypothetical LOC644006
203247_s_at	zinc finger protein 24
229881_at	Kruppel-like factor 12
208960_s_at	Kruppel-like factor 6
203959_s_at	zinc finger and BTB domain containing 40
"1558755_x_at, 1558754_at"	zinc finger protein 763
228005_at	"zinc finger, X-linked, duplicated B"
211721_s_at	zinc finger protein 551
40446_at	PHD finger protein 1
237449_at	Sp8 transcription factor
"222891_s_at, 1559078_at"	B-cell CLL/lymphoma 11A (zinc finger protein)
"230063_at, 205917_at"	zinc finger protein 264
205791_x_at	zinc finger protein 230
205312_at	spleen focus forming virus (SFFV) proviral integration oncogene spi1
217627_at	zinc finger protein 573
243312_at	zinc finger protein 107
1553193_at	zinc finger protein 441
1563321_s_at	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10"
221213_s_at	zinc finger protein 280D
226754_at	zinc finger protein 251
"205383_s_at, 235308_at"	zinc finger and BTB domain containing 20
218486_at	Kruppel-like factor 11
228099_at	zinc finger protein 550
205437_at	zinc finger protein 211
213452_at	zinc finger protein 184
"218312_s_at, 217593_at"	zinc finger and SCAN domain containing 18
229661_at	sal-like 4 (Drosophila)
"208012_x_at, 209762_x_at"	SP110 nuclear body protein
214686_at	zinc finger protein 266
235810_at	zinc finger protein 182
"225800_at, 225798_at"	JAZF zinc finger 1
214706_at	zinc finger protein 200
227122_at	zinc finger protein 791
207236_at	zinc finger protein 345
227284_at	zinc finger protein 766
208119_s_at	zinc finger protein 93
207128_s_at	zinc finger protein 223
235648_at	zinc finger protein 567
225050_at	zinc finger protein 512
203026_at	zinc finger and BTB domain containing 5
227294_at	zinc finger protein 689
"227603_at, 231836_at"	GLI-Kruppel family member HKR1
"236395_at, 209199_s_at, 239938_x_at, 209200_at"	myocyte enhancer factor 2C
226787_at	zinc finger protein 18
"227523_s_at, 222133_s_at, 230098_at"	PHD finger protein 20-like 1
226820_at	zinc finger protein 362
229766_at	zinc finger protein 445
221645_s_at	zinc finger protein 83
1556269_at	myelin transcription factor 1
202134_s_at	WW domain containing transcription regulator 1
228460_at	zinc finger protein 319
215570_s_at	zinc finger protein 780B
201483_s_at	suppressor of Ty 4 homolog 1 (S. cerevisiae)
"1555789_s_at, 223081_at"	PHD finger protein 23
219041_s_at	replication initiator 1
225945_at	zinc finger protein 655
227731_at	"CCHC-type zinc finger, nucleic acid binding protein"
"223393_s_at, 223392_s_at"	teashirt zinc finger homeobox 3
222526_at	GATA zinc finger domain containing 2A
224518_s_at	zinc finger protein 559
209750_at	"nuclear receptor subfamily 1, group D, member 2"
206567_s_at	PHD finger protein 20
206240_s_at	zinc finger protein 136
1556060_a_at	zinc finger protein 451
227796_at	zinc finger protein 62 homolog (mouse)
243024_at	zinc finger protein 394
236811_at	DMRT-like family C2
243255_at	SRY (sex determining region Y)-box 6
"223145_s_at, 213810_s_at, 223144_s_at, 223143_s_at"	akirin 2
1555325_s_at	zinc finger protein 26
234292_s_at	zinc finger protein 852; zinc finger protein 167
239952_at	zinc finger E-box binding homeobox 1
230408_at	polycomb group ring finger 3
"227150_at, 205322_s_at, 205323_s_at"	metal-regulatory transcription factor 1
228927_at	zinc finger protein 397
"227674_at, 243790_at"	zinc finger protein 585A
242864_at	zinc finger protein 554
"205931_s_at, 229228_at"	cAMP responsive element binding protein 5
219676_at	zinc finger and SCAN domain containing 16
226102_at	zinc finger protein 192
203319_s_at	zinc finger protein 148
230205_at	zinc finger protein 561; zinc finger protein 812
243254_at	human immunodeficiency virus type I enhancer binding protein 2
226344_at	"zinc finger, matrin type 1"
233169_at	zinc finger protein 350
217986_s_at	"bromodomain adjacent to zinc finger domain, 1A"
209431_s_at	POZ (BTB) and AT hook containing zinc finger 1
238493_at	zinc finger protein 506
226255_at	zinc finger and BTB domain containing 33
226111_s_at	zinc finger protein 385A
201548_s_at	"similar to Jumonji, AT rich interactive domain 1B (RBP2-like); lysine (K)-specific demethylase 5B"
218325_s_at	death inducer-obliterator 1
233461_x_at	zinc finger protein 226
238937_at	zinc finger protein 420
225629_s_at	zinc finger and BTB domain containing 4
"203278_s_at, 1558965_at, 1554153_a_at, 227090_at"	PHD finger protein 21A
227613_at	zinc finger protein 331
216399_s_at	S-phase cyclin A-associated protein in the ER
226646_at	Kruppel-like factor 2 (lung)
235698_at	zinc finger protein 90 homolog (mouse)
225048_at	PHD finger protein 10
228769_at	zinc finger and SCAN domain containing 22
239250_at	zinc finger protein 542
224782_at	"zinc finger, matrin type 2"
212684_at	zinc finger protein 3
"204937_s_at, 232436_at"	zinc finger protein 274
218401_s_at	zinc finger protein 281
228346_at	zinc finger protein 844
218059_at	zinc finger protein 706
"228393_s_at, 218490_s_at"	zinc finger protein 302
1566161_at	Meis homeobox 2
235179_at	zinc finger protein 641
226680_at	IKAROS family zinc finger 5 (Pegasus)
226143_at	retinoic acid induced 1
235170_at	zinc finger protein 92
225053_at	"CCR4-NOT transcription complex, subunit 7"
226240_at	"transcriptional adaptor 2 (ADA2 homolog, yeast)-beta"
221844_x_at	zinc finger protein 574
"244752_at, 229743_at"	zinc finger protein 438
219801_at	zinc finger protein 34
55872_at	zinc finger protein 512B
214760_at	zinc finger protein 337
225005_at	PHD finger protein 13
223714_at	zinc finger protein 256
229000_at	zinc finger protein 77
204523_at	zinc finger protein 140
1553957_at	zinc finger protein 564
200050_at	zinc finger protein 146

Gene Group 29	Enrichment Score: 2.432329113697422
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
228492_at	"ubiquitin specific peptidase 9, Y-linked"
220370_s_at	ubiquitin specific peptidase 36
"235772_at, 227754_at"	ubiquitin specific peptidase 54
231990_at	ubiquitin specific peptidase 15
211702_s_at	"similar to TBC1 domain family, member 3; ubiquitin specific peptidase 32"
"223288_at, 223289_s_at"	ubiquitin specific peptidase 38
214790_at	SUMO1/sentrin specific peptidase 6
202681_at	ubiquitin specific peptidase 4 (proto-oncogene)
213327_s_at	ubiquitin specific peptidase 12
209103_s_at	ubiquitin fusion degradation 1 like (yeast)

Gene Group 30	Enrichment Score: 2.404894833873376
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
238020_at	"proteasome (prosome, macropain) 26S subunit, ATPase, 2"
230037_at	anaphase promoting complex subunit 1; similar to anaphase promoting complex subunit 1
209658_at	cell division cycle 16 homolog (S. cerevisiae)
214590_s_at	"ubiquitin-conjugating enzyme E2D 1 (UBC4/5 homolog, yeast)"
201233_at	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 13"
"200719_at, 200718_s_at"	S-phase kinase-associated protein 1
235926_at	anaphase promoting complex subunit 5
243286_at	cullin 1
"209853_s_at, 200987_x_at"	"proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki)"
"201458_s_at, 229827_at"	budding uninhibited by benzimidazoles 3 homolog (yeast)

Gene Group 31	Enrichment Score: 2.3373215190980985
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
207065_at	keratin 75
1558394_s_at	keratin 7
212730_at	"synemin, intermediate filament protein"
213287_s_at	keratin 10
1558672_at	"internexin neuronal intermediate filament protein, alpha"

Gene Group 32	Enrichment Score: 2.185792768519362
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
230597_at	"solute carrier family 7 (cationic amino acid transporter, y+ system), member 3"
209921_at	"solute carrier family 7, (cationic amino acid transporter, y+ system) member 11"
237318_at	"solute carrier family 43, member 2"
"222982_x_at, 218041_x_at, 220924_s_at"	"solute carrier family 38, member 2"
203579_s_at	"solute carrier family 7 (cationic amino acid transporter, y+ system), member 6"
204394_at	"solute carrier family 43, member 1"
220786_s_at	"solute carrier family 38, member 4"

Gene Group 33	Enrichment Score: 1.9853609991642505
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
220577_at	"GTPase, very large interferon inducible 1"
219243_at	"GTPase, IMAP family member 4"
"209882_at, 239843_at"	Ras-like without CAAX 1
233664_at	ADP-ribosylation factor-like 15
232953_at	chromosome 20 open reading frame 69; similar to hCG1984118
238431_at	ADP-ribosylation factor-like 5A
219151_s_at	"RAB, member of RAS oncogene family-like 2B"
"219777_at, 229367_s_at"	"GTPase, IMAP family member 6"
"223428_s_at, 223429_x_at, 225632_s_at, 223831_x_at"	"RAB43, member RAS oncogene family; hypothetical LOC100131426"
234311_s_at	GTP-binding protein 10 (putative)
219622_at	"RAB20, member RAS oncogene family"
221524_s_at	Ras-related GTP binding D

Gene Group 34	Enrichment Score: 1.8448387484356907
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
201542_at	SAR1 homolog A (S. cerevisiae)
203175_at	"ras homolog gene family, member G (rho G)"
"218668_s_at, 218669_at"	"RAP2C, member of RAS oncogene family"
222981_s_at	"RAB10, member RAS oncogene family"
213923_at	"RAP2B, member of RAS oncogene family"
201526_at	ADP-ribosylation factor 5
"228113_at, 244124_at"	"RAB37, member RAS oncogene family"
"225251_at, 1555311_at"	"RAB24, member RAS oncogene family"
"202101_s_at, 202100_at"	v-ral simian leukemia viral oncogene homolog B (ras related; GTP binding protein)
208819_at	"RAB8A, member RAS oncogene family"
"222846_at, 219210_s_at"	"RAB8B, member RAS oncogene family"
1554482_a_at	SAR1 homolog B (S. cerevisiae)
200833_s_at	"RAP1B, member of RAS oncogene family"
208734_x_at	"RAB2A, member RAS oncogene family"
206113_s_at	"RAB5A, member RAS oncogene family"
224377_s_at	"RAB18, member RAS oncogene family"
219151_s_at	"RAB, member of RAS oncogene family-like 2B"
203885_at	"RAB21, member RAS oncogene family"
208466_at	"RAB3D, member RAS oncogene family"
"207791_s_at, 208724_s_at"	"RAB1A, member RAS oncogene family"
"217763_s_at, 217764_s_at, 217762_s_at"	"RAB31, member RAS oncogene family"
"223428_s_at, 223429_x_at, 225632_s_at, 223831_x_at"	"RAB43, member RAS oncogene family; hypothetical LOC100131426"
219622_at	"RAB20, member RAS oncogene family"
"209882_at, 239843_at"	Ras-like without CAAX 1
238431_at	ADP-ribosylation factor-like 5A
211961_s_at	"RAB7A, member RAS oncogene family"

Gene Group 35	Enrichment Score: 1.6347455803136703
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
213313_at	RAB GTPase activating protein 1
226409_at	"TBC1 domain family, member 20"
"1569566_at, 1568713_a_at"	"TBC1 (tre-2/USP6, BUB2, cdc16) domain family, member 1"
228258_at	"TBC1 domain family, member 10C"
1562239_at	small G protein signaling modulator 1
224622_at	"TBC1 domain family, member 14"
209403_at	"TBC1 domain family, member 3E; TBC1 domain family, member 3F; TBC1 domain family, member 3G; TBC1 domain family member 3C-like protein ENSP00000341742; TBC1 domain family, member 3H; TBC1 domain family, member 3; TBC1 domain family, member 3I; TBC1 domain family, member 3B; TBC1 domain family, member 3C"
229377_at	growth hormone regulated TBC protein 1
"217538_at, 36129_at"	small G protein signaling modulator 2
33778_at	"TBC1 domain family, member 22A"
232702_at	RAB GTPase activating protein 1-like
1556054_at	"TBC1 domain family, member 8 (with GRAM domain)"
203387_s_at	"TBC1 domain family, member 4"

Gene Group 36	Enrichment Score: 1.5639840584861835
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
236107_at	ubiquitin-conjugating enzyme E2Z
214590_s_at	"ubiquitin-conjugating enzyme E2D 1 (UBC4/5 homolog, yeast)"
"1557053_s_at, 209042_s_at"	"ubiquitin-conjugating enzyme E2G 2 (UBC7 homolog, yeast)"
225651_at	"ubiquitin-conjugating enzyme E2E 2 (UBC4/5 homolog, yeast)"
201899_s_at	ubiquitin-conjugating enzyme E2A (RAD6 homolog)
229355_at	"ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast); ubiquitin-conjugating enzyme E2D 3 pseudogene"
231948_s_at	ubiquitin-conjugating enzyme E2F (putative)
"209142_s_at, 209141_at"	"ubiquitin-conjugating enzyme E2G 1 (UBC7 homolog, yeast)"
222657_s_at	ubiquitin-conjugating enzyme E2W (putative)

Gene Group 37	Enrichment Score: 1.3632127532432796
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
"235549_at, 239012_at"	ring finger protein 144B
228753_at	Cas-Br-M (murine) ecotropic retroviral transforming sequence-like 1
236972_at	tripartite motif-containing 63
223612_s_at	ligand of numb-protein X 1
201881_s_at	"ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1 (Drosophila)"
"201230_s_at, 238068_at, 227932_at"	ariadne homolog 2 (Drosophila)

Gene Group 38	Enrichment Score: 1.1733213106161982
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
226878_at	"major histocompatibility complex, class II, DO alpha"
218831_s_at	"Fc fragment of IgG, receptor, transporter, alpha"
"212671_s_at, 213831_at"	"similar to hCG2042724; similar to HLA class II histocompatibility antigen, DQ(1) alpha chain precursor (DC-4 alpha chain); major histocompatibility complex, class II, DQ alpha 1"
201137_s_at	"major histocompatibility complex, class II, DP beta 1"
205987_at	CD1c molecule
221978_at	"major histocompatibility complex, class I, F"
"209728_at, 208306_x_at, 204670_x_at, 209312_x_at"	"major histocompatibility complex, class II, DR beta 4; major histocompatibility complex, class II, DR beta 1"
"221491_x_at, 215193_x_at"	"major histocompatibility complex, class II, DR beta 3"
208894_at	"major histocompatibility complex, class II, DR alpha"
"211654_x_at, 209480_at, 209823_x_at, 212998_x_at, 212999_x_at, 211656_x_at"	"major histocompatibility complex, class II, DQ beta 1; similar to major histocompatibility complex, class II, DQ beta 1"
203932_at	"major histocompatibility complex, class II, DM beta"
"211990_at, 213537_at, 211991_s_at"	"major histocompatibility complex, class II, DP alpha 1"

Gene Group 39	Enrichment Score: 1.1161911996931295
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
203613_s_at	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 6, 17kDa"
204125_at	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 1"
209066_x_at	similar to ubiquinol-cytochrome c reductase binding protein; ubiquinol-cytochrome c reductase binding protein pseudogene; ubiquinol-cytochrome c reductase binding protein
202000_at	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 6, 14kDa"
203371_s_at	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 3, 12kDa"
"200883_at, 212600_s_at"	ubiquinol-cytochrome c reductase core protein II
223244_s_at	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 12"

Gene Group 40	Enrichment Score: 0.9820068555818113
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
1559096_x_at	F-box protein 9
"218050_at, 242669_at"	ubiquitin-fold modifier 1
218539_at	F-box protein 34
"209005_at, 209004_s_at"	F-box and leucine-rich repeat protein 5
227203_at	F-box and leucine-rich repeat protein 17
227568_at	HECT domain containing 2
220127_s_at	F-box and leucine-rich repeat protein 12
212231_at	F-box protein 21
214790_at	SUMO1/sentrin specific peptidase 6
227641_at	F-box and leucine-rich repeat protein 16
219641_at	de-etiolated homolog 1 (Arabidopsis)
202038_at	"ubiquitination factor E4A (UFD2 homolog, yeast)"
209103_s_at	ubiquitin fusion degradation 1 like (yeast)

Gene Group 41	Enrichment Score: 0.9603517068385458
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
"235549_at, 239012_at"	ring finger protein 144B
230112_at	membrane-associated ring finger (C3HC4) 4
210075_at	membrane-associated ring finger (C3HC4) 2
213256_at	membrane-associated ring finger (C3HC4) 3
218582_at	membrane-associated ring finger (C3HC4) 5

Gene Group 42	Enrichment Score: 0.6832233874126618
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
237338_at	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8"
230482_at	"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5"
203217_s_at	"ST3 beta-galactoside alpha-2,3-sialyltransferase 5"
"222870_s_at, 219326_s_at, 224154_at"	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1; UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2"
203759_at	"ST3 beta-galactoside alpha-2,3-sialyltransferase 4"
210506_at	"fucosyltransferase 7 (alpha (1,3) fucosyltransferase)"
"242511_at, 1555702_a_at"	"ST3 beta-galactoside alpha-2,3-sialyltransferase 3"
"217650_x_at, 229336_at"	"ST3 beta-galactoside alpha-2,3-sialyltransferase 2"

Gene Group 43	Enrichment Score: 0.6346376020721692
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
"32091_at, 212683_at"	"solute carrier family 25, member 44"
205716_at	"solute carrier family 25, member 40"
"208998_at, 208997_s_at"	"uncoupling protein 2 (mitochondrial, proton carrier)"
235747_at	"solute carrier family 25 (mitochondrial carrier; Graves disease autoantigen), member 16"
221619_s_at	mitochondrial carrier homolog 1 (C. elegans)
"226928_x_at, 231274_s_at"	"solute carrier family 25, member 37"
"219156_at, 227274_at"	synaptojanin 2 binding protein
"201918_at, 201917_s_at, 201919_at"	"solute carrier family 25, member 36"
"1563498_s_at, 236436_at"	"solute carrier family 25, member 45"
218271_s_at	"presenilin associated, rhomboid-like"
"212862_at, 212864_at"	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 2
242361_at	"inner membrane protein, mitochondrial (mitofilin)"

Gene Group 44	Enrichment Score: 0.628183567592896
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
206153_at	"cytochrome P450, family 4, subfamily F, polypeptide 11"
226402_at	"cytochrome P450, family 2, subfamily U, polypeptide 1"
210452_x_at	"cytochrome P450, family 4, subfamily F, polypeptide 2"
203475_at	"cytochrome P450, family 19, subfamily A, polypeptide 1"
206514_s_at	"cytochrome P450, family 4, subfamily F, polypeptide 3"
"202437_s_at, 202435_s_at, 202436_s_at"	"cytochrome P450, family 1, subfamily B, polypeptide 1"
206539_s_at	"similar to cytochrome P450, family 4, subfamily F, polypeptide 12; cytochrome P450, family 4, subfamily F, polypeptide 12"
228391_at	"cytochrome P450, family 4, subfamily V, polypeptide 2"

Gene Group 45	Enrichment Score: 0.5410061874904887
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
"238523_at, 227319_at"	kelch-like 36 (Drosophila)
204423_at	"muskelin 1, intracellular mediator containing kelch motifs"
219157_at	"kelch-like 2, Mayven (Drosophila)"
"226874_at, 242648_at"	kelch-like 8 (Drosophila)
217906_at	kelch domain containing 2
243305_at	kelch domain containing 5
1552733_at	kelch domain containing 1
221985_at	kelch-like 24 (Drosophila)
223585_x_at	kelch repeat and BTB (POZ) domain containing 2
204177_s_at	kelch-like 20 (Drosophila)

Gene Group 46	Enrichment Score: 0.501636202894935
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
230637_at	sideroflexin 4
240277_at	"solute carrier family 30 (zinc transporter), member 7"
202614_at	"solute carrier family 30 (zinc transporter), member 9"
226444_at	"solute carrier family 39 (zinc transporter), member 10"
1559993_at	sideroflexin 3
219869_s_at	"solute carrier family 39 (zinc transporter), member 8"

Gene Group 47	Enrichment Score: 0.31834100814693705
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
"200096_s_at, 214150_x_at, 201172_x_at, 236527_at, 201171_at"	"ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e1"
212041_at	"ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d1"
205781_at	chromosome 16 open reading frame 7
"202872_at, 202874_s_at"	"ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C1"
212754_s_at	MON2 homolog (S. cerevisiae)
208745_at	"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit G"

Gene Group 48	Enrichment Score: 0.0801859611658562
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
224846_at	SH3KBP1 binding protein 1
"223176_at, 228299_at"	potassium channel tetramerisation domain containing 20
213474_at	potassium channel tetramerisation domain containing 7
206842_at	"potassium voltage-gated channel, Shal-related subfamily, member 1"
229873_at	potassium channel tetramerisation domain containing 21

Gene Group 49	Enrichment Score: 0.05654650826431266
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
243209_at	"potassium voltage-gated channel, KQT-like subfamily, member 4"
242108_at	two pore segment channel 1
235194_at	two pore segment channel 2
236407_at	"potassium voltage-gated channel, Isk-related family, member 1"
206842_at	"potassium voltage-gated channel, Shal-related subfamily, member 1"
"210119_at, 211806_s_at"	"potassium inwardly-rectifying channel, subfamily J, member 15"
224099_at	"potassium voltage-gated channel, subfamily H (eag-related), member 7"

Gene Group 50	Enrichment Score: 0.03200999770010787
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
217209_at	carcinoembryonic antigen-related cell adhesion molecule 3
209770_at	"butyrophilin, subfamily 3, member A1"
"211287_x_at, 207085_x_at, 210340_s_at"	"colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)"
208594_x_at	"leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 6"
240396_at	"interleukin 20 receptor, alpha"
1567624_at	triggering receptor expressed on myeloid cells-like 2 pseudogene; triggering receptor expressed on myeloid cells-like 2
204773_at	"interleukin 11 receptor, alpha"
"230631_s_at, 230632_at"	"interferon (alpha, beta and omega) receptor 2"
216950_s_at	"Fc fragment of IgG, high affinity Ic, receptor (CD64); Fc fragment of IgG, high affinity Ia, receptor (CD64)"
"205403_at, 211372_s_at"	"interleukin 1 receptor, type II"
221112_at	interleukin 1 receptor accessory protein-like 2
220000_at	sialic acid binding Ig-like lectin 5
227154_at	"immunoglobin superfamily, member 21"
1552584_at	"interleukin 12 receptor, beta 1"
206215_at	opioid binding protein/cell adhesion molecule-like
201642_at	interferon gamma receptor 2 (interferon gamma transducer 1)
204912_at	"interleukin 10 receptor, alpha"
218831_s_at	"Fc fragment of IgG, receptor, transporter, alpha"
210195_s_at	pregnancy specific beta-1-glycoprotein 1
204820_s_at	"butyrophilin, subfamily 3, member A3"
205707_at	interleukin 17 receptor A
205987_at	CD1c molecule
225669_at	"interferon (alpha, beta and omega) receptor 1"
225372_at	chromosome 10 open reading frame 54
210660_at	"leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 1"
215492_x_at	pre T-cell antigen receptor alpha
202948_at	"interleukin 1 receptor, type I"
"215838_at, 1555643_s_at"	"leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 5"
232891_at	signal-regulatory protein delta
221601_s_at	Fas apoptotic inhibitory molecule 3
207072_at	interleukin 18 receptor accessory protein
"227458_at, 223834_at"	CD274 molecule
205298_s_at	"butyrophilin, subfamily 2, member A2"
206618_at	interleukin 18 receptor 1
210569_s_at	sialic acid binding Ig-like lectin 9
"207674_at, 211306_s_at, 211307_s_at, 211816_x_at"	"Fc fragment of IgA, receptor for"
209575_at	"interleukin 10 receptor, beta"
204006_s_at	"Fc fragment of IgG, low affinity IIIa, receptor (CD16a)"
206120_at	CD33 molecule
217095_x_at	natural cytotoxicity triggering receptor 1
"234632_x_at, 234640_x_at, 220421_at"	butyrophilin-like 8
"205988_at, 244352_at, 211192_s_at"	CD84 molecule
"217024_x_at, 202897_at, 1558299_at, 202896_s_at"	signal-regulatory protein alpha
"211100_x_at, 211102_s_at, 207857_at, 211101_x_at"	"leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 2"

Gene Group 51	Enrichment Score: 0.031214074129214738
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
216355_at	protocadherin beta 17 pseudogene
204751_x_at	desmocollin 2
232054_at	protocadherin 20
227282_at	protocadherin 19
232631_at	"cadherin 6, type 2, K-cadherin (fetal kidney)"

Gene Group 52	Enrichment Score: 0.023433825332313224
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
1560262_at	leucine rich repeat containing 32
223552_at	leucine rich repeat containing 4
218684_at	"leucine rich repeat containing 8 family, member D"
229231_at	similar to hCG1991475; leucine rich repeat containing 37B
207926_at	glycoprotein V (platelet)
223750_s_at	toll-like receptor 10
210166_at	toll-like receptor 5

Gene Group 53	Enrichment Score: 6.490881556256639E-4
AFFYMETRIX_3PRIME_IVT_ID	Gene Name
226403_at	transmembrane channel-like 4
222979_s_at	surfeit 4
227300_at	transmembrane protein 119
"220240_s_at, 220241_at, 226050_at"	transmembrane and coiled-coil domains 3
241010_x_at	similar to EGFR-coamplified and overexpressed protein; EGFR-coamplified and overexpressed protein
218802_at	coiled-coil domain containing 109B
240396_at	"interleukin 20 receptor, alpha"
224807_at	GRAM domain containing 1A
229231_at	similar to hCG1991475; leucine rich repeat containing 37B
208594_x_at	"leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 6"
227236_at	tetraspanin 2
224820_at	"family with sequence similarity 36, member A"
"206470_at, 213241_at, 206471_s_at"	plexin C1
"219029_at, 1557828_a_at, 238635_at"	chromosome 5 open reading frame 28
241115_at	KIAA1467
204773_at	"interleukin 11 receptor, alpha"
"218888_s_at, 222774_s_at"	neuropilin (NRP) and tolloid (TLL)-like 2
"232053_x_at, 222995_s_at"	rhomboid domain containing 2
219872_at	chromosome 4 open reading frame 18
235568_at	chromosome 19 open reading frame 59
"1557521_a_at, 201032_at"	bladder cancer associated protein
1555338_s_at	aquaporin 10
55662_at	chromosome 10 open reading frame 76
1552971_at	sarcoglycan zeta
225058_at	G protein-coupled receptor 108
227052_at	chromosome 4 open reading frame 34
223482_at	transmembrane protein 120A
214733_s_at	"Yip1 domain family, member 1"
225463_x_at	G protein-coupled receptor 89C; G protein-coupled receptor 89B; G protein-coupled receptor 89A
"226226_at, 230323_s_at"	transmembrane protein 45B
223660_at	adenosine A3 receptor
"1553723_at, 220404_at"	G protein-coupled receptor 97
218109_s_at	major facilitator superfamily domain containing 1
202668_at	ephrin-B2
234725_s_at	"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4B"
"207674_at, 211306_s_at, 211307_s_at, 211816_x_at"	"Fc fragment of IgA, receptor for"
"201601_x_at, 214022_s_at"	interferon induced transmembrane protein 1 (9-27)
212475_at	AVL9 homolog (S. cerevisiase)
225281_at	chromosome 3 open reading frame 17
204912_at	"interleukin 10 receptor, alpha"
212203_x_at	interferon induced transmembrane protein 3 (1-8U)
221452_s_at	transmembrane protein 14D; transmembrane protein 14B
218753_at	"XK, Kell blood group complex subunit-related family, member 8"
219253_at	transmembrane protein 185B (pseudogene)
241392_at	transmembrane protein 39A
"206656_s_at, 227857_at, 228309_at"	chromosome 20 open reading frame 3
223105_s_at	transmembrane protein 14C
225579_at	PQ loop repeat containing 3
"1569852_at, 239203_at"	chromosome 7 open reading frame 53
239593_at	transmembrane protein 213
219223_at	chromosome 9 open reading frame 7
233141_s_at	suppression of tumorigenicity 7 like
"1560724_at, 240310_at, 212409_s_at"	torsin A interacting protein 1
227861_at	transmembrane protein 161B
225372_at	chromosome 10 open reading frame 54
1556209_at	"C-type lectin domain family 2, member B"
"238792_at, 213159_at, 235082_at, 229287_at, 239100_x_at, 213173_at, 215175_at"	pecanex homolog (Drosophila)
"220558_x_at, 233467_s_at"	tetraspanin 32
